Serial  Exact_Count  Global_Count  Error
413  115122  112303  2.44837
414  115689  112556  2.70847
415  116261  113064  2.74992
416  116819  114346  2.11712
417  117448  114346  2.64134
418  117993  114346  3.09103
419  118574  114871  3.12329
420  119121  115399  3.12476
421  119673  116729  2.45962
422  120365  116997  2.79852
423  120949  118078  2.37388
424  121558  118622  2.41498
425  122116  120264  1.51646
426  122691  121091  1.30382
427  123298  121370  1.56384
428  123893  121648  1.81173
429  124471  122775  1.36239
430  125034  123343  1.35263
431  125634  123914  1.36923
432  126201  123914  1.81237
433  126806  124204  2.05203
434  127442  124204  2.54084
435  128003  124792  2.50868
436  128556  125678  2.2388
437  129193  126870  1.79818
438  129703  127169  1.95392
439  130267  127771  1.91623
440  130858  128684  1.66133
441  131427  128989  1.85471
442  131989  129298  2.03893
443  132621  130228  1.80472
444  133214  130853  1.77259
445  133722  130853  2.14575
446  134285  131802  1.8489
447  134848  131802  2.25869
448  135372  132763  1.92692
449  135926  132763  2.32665
450  136500  133739  2.02289
451  137038  134720  1.69147
452  137591  135707  1.36951
453  138189  136369  1.31691
454  138869  136369  1.80013
455  139526  137375  1.54151
456  140064  137714  1.67762
457  140671  138055  1.85953
458  141300  139426  1.32595
459  141946  140803  0.80549
460  142586  141498  0.763198
461  143149  143246  0.0680528
462  143833  143597  0.163793
463  144448  143597  0.588854
464  145099  145022  0.0531871
465  145669  145022  0.444277
466  146321  145383  0.641019
467  147035  145746  0.87653
468  147708  146111  1.08105
469  148281  146847  0.967184
470  149010  147217  1.20313
471  149668  147217  1.63748
472  150380  148343  1.35458
473  150973  148721  1.49171
474  151563  149101  1.62473
475  152182  149863  1.52362
476  152863  149863  1.96233
477  153439  150639  1.82496
478  154123  151028  2.00806
479  154816  151813  1.93953
480  155426  152602  1.81666
481  156192  154188  1.28292
482  156860  155384  0.940942
483  157615  156989  0.396932
484  158211  157798  0.261145
485  158911  158612  0.187954
486  159514  159429  0.0534375
487  160313  159840  0.295116
488  161051  161499  0.27795
489  161688  162334  0.399741
490  162397  162755  0.22037
491  163082  164443  0.834563
492  163750  164443  0.42322
493  164373  165725  0.822746
494  165048  166155  0.670843
495  165788  167451  1.00298
496  166484  169191  1.62597
497  167171  170065  1.73128
498  168023  170506  1.47762
499  168695  171833  1.86016
500  169400  172279  1.69953
501  170090  173624  2.07747
502  170769  174976  2.46368
503  171428  177243  3.39191
504  172252  178610  3.6912
505  172955  178610  3.26973
506  173743  179533  3.33263
507  174459  179533  2.90854
508  175197  179533  2.47505
509  176112  180003  2.20966
510  176821  182366  3.13586
511  177542  182366  2.71703
512  178181  182843  2.61635
513  178865  182843  2.22393
514  179568  184778  2.90156
515  180285  185266  2.76283
516  180977  186246  2.91152
517  181711  186737  2.7662
518  182425  186737  2.36398
519  183208  189228  3.286
520  183989  189728  3.11945
521  184728  190233  2.98021
522  185493  191755  3.3759
523  186237  193285  3.78456
524  187115  195848  4.66693
525  187942  196363  4.48069
526  188696  196883  4.33861
527  189509  196883  3.89099
528  190264  197408  3.7546
529  191074  198464  3.86746
530  191817  198994  3.74175
531  192557  199528  3.62005
532  193333  201138  4.03715
533  194139  203297  4.71744
534  194986  204384  4.81992
535  195791  204929  4.66712
536  196486  204929  4.2969
537  197286  206033  4.43359
538  198026  206587  4.32314
539  198737  207144  4.23004
540  199416  207144  3.87514
541  200231  207144  3.45234
542  200985  208844  3.91024
543  201765  209986  4.07443
544  202659  211132  4.1808
545  203340  212288  4.40039
546  204172  212869  4.25957
547  205083  212869  3.79644
548  205820  215216  4.56497
549  206639  215216  4.15054
550  207425  215216  3.75588
551  208320  215811  3.5958
552  209018  215811  3.24985
553  209691  215811  2.91847
554  210417  216417  2.85141
555  211311  217635  2.99265
556  212118  218859  3.178
557  212896  219476  3.09078
558  213673  220094  3.00495
559  214526  220715  2.88499
560  215306  221967  3.09386
561  216025  222597  3.04202
562  216765  223227  2.98124
563  217525  223862  2.91301
564  218329  225140  3.11963
565  219188  225140  2.7155
566  219928  227077  3.2504
567  220684  228376  3.48541
568  221460  228376  3.1228
569  222312  229034  3.02354
570  223105  231013  3.54451
571  224023  231676  3.41614
572  224807  231676  3.05548
573  225682  233686  3.5465
