Serial  Exact_Count  Global_Count  Error
402  109331  112444  2.8472
403  109769  112899  2.85119
404  110349  113661  3.00101
405  110806  113967  2.85259
406  111346  114390  2.73389
407  111849  114854  2.68642
408  112462  115320  2.54116
409  112998  115827  2.50368
410  113448  116298  2.51225
411  114034  116968  2.57334
412  114540  117523  2.60447
413  115122  118080  2.56986
414  115689  118880  2.75817
415  116261  119563  2.84057
416  116819  120089  2.79893
417  117448  120860  2.90513
418  117993  121920  3.32799
419  118574  122493  3.30496
420  119121  122699  3.00347
421  119673  123154  2.90896
422  120365  123778  2.83546
423  120949  124363  2.82256
424  121558  125119  2.92918
425  122116  125540  2.80406
426  122691  126006  2.70179
427  123298  126687  2.7486
428  123893  127157  2.63466
429  124471  127716  2.60709
430  125034  128148  2.49034
431  125634  128755  2.48407
432  126201  129147  2.33426
433  126806  129497  2.12215
434  127442  130156  2.12955
435  128003  130421  1.88884
436  128556  130953  1.86494
437  129193  131354  1.67301
438  129703  132116  1.86009
439  130267  132610  1.79879
440  130858  133288  1.85686
441  131427  133696  1.72671
442  131989  134198  1.67326
443  132621  134472  1.39599
444  133214  135071  1.39391
445  133722  135856  1.59599
446  134285  136506  1.65402
447  134848  136692  1.36778
448  135372  137488  1.56337
449  135926  138100  1.59935
450  136500  138667  1.5879
451  137038  139095  1.50075
452  137591  139810  1.61284
453  138189  140720  1.83137
454  138869  141056  1.57519
455  139526  141636  1.5123
456  140064  142072  1.43392
457  140671  142414  1.23872
458  141300  143050  1.23851
459  141946  143885  1.3661
460  142586  144477  1.32643
461  143149  144874  1.20524
462  143833  145522  1.17414
463  144448  146122  1.15909
464  145099  146876  1.22466
465  145669  147582  1.31357
466  146321  148140  1.24297
467  147035  149208  1.47803
468  147708  149821  1.43056
469  148281  150539  1.52302
470  149010  151107  1.40699
471  149668  151728  1.37614
472  150380  152403  1.34549
473  150973  152717  1.15485
474  151563  153293  1.1413
475  152182  153766  1.04105
476  152863  154507  1.07521
477  153439  155250  1.18015
478  154123  155676  1.00792
479  154816  156426  1.03978
480  155426  156695  0.816268
481  156192  157667  0.944221
482  156860  158643  1.13644
483  157615  159677  1.30806
484  158211  160551  1.47906
485  158911  161375  1.55029
486  159514  161925  1.51169
487  160313  163143  1.76521
488  161051  163810  1.71293
489  161688  164144  1.51912
490  162397  164760  1.45529
491  163082  165435  1.44308
492  163750  166283  1.54688
493  164373  166907  1.54168
494  165048  167875  1.71257
495  165788  168275  1.49992
496  166484  169480  1.79963
497  167171  170172  1.79518
498  168023  171156  1.86461
499  168695  171969  1.94073
500  169400  172436  1.79198
501  170090  173138  1.79209
502  170769  173608  1.6626
503  171428  174258  1.65069
504  172252  174731  1.43933
505  172955  175624  1.54297
506  173743  176221  1.4262
507  174459  177061  1.4912
508  175197  177844  1.51071
509  176112  178629  1.42945
510  176821  179297  1.40002
511  177542  180088  1.4343
512  178181  180823  1.48258
513  178865  181252  1.33468
514  179568  182115  1.41831
515  180285  182919  1.46119
516  180977  183479  1.38226
517  181711  184165  1.3504
518  182425  185229  1.53703
519  183208  186108  1.58291
520  183989  186676  1.46027
521  184728  187436  1.46567
522  185493  188516  1.62968
523  186237  189537  1.77199
524  187115  191139  2.15071
525  187942  191847  2.07758
526  188696  192814  2.18248
527  189509  193916  2.32536
528  190264  194696  2.3293
529  191074  195479  2.3056
530  191817  196266  2.3193
531  192557  196792  2.19946
532  193333  197717  2.26734
533  194139  198313  2.15006
534  194986  199511  2.32051
535  195791  200112  2.20672
536  196486  200514  2.04982
537  197286  201724  2.24955
538  198026  202467  2.24267
539  198737  203280  2.28602
540  199416  204164  2.38096
541  200231  204710  2.23715
542  200985  205259  2.12635
543  201765  206015  2.10653
544  202659  207258  2.2692
545  203340  207743  2.1653
546  204172  208578  2.1578
547  205083  208926  1.87409
548  205820  209417  1.74769
549  206639  210050  1.65067
550  207425  210967  1.70759
551  208320  212030  1.78088
552  209018  213096  1.95091
553  209691  213738  1.92983
554  210417  214310  1.85025
555  211311  215459  1.96291
556  212118  216540  2.08488
557  212896  217336  2.08569
558  213673  217990  2.02042
559  214526  218646  1.92069
560  215306  219378  1.8912
561  216025  219819  1.75605
562  216765  220850  1.88439
563  217525  221811  1.97025
564  218329  222330  1.83253
565  219188  223819  2.11297
566  219928  224268  1.97327
567  220684  224643  1.79391
568  221460  225546  1.84484
569  222312  226981  2.10005
570  223105  227587  2.00882
571  224023  228879  2.16777
572  224807  229948  2.28679
573  225682  230484  2.12762
574  226521  231714  2.29231
575  227282  232330  2.22112
576  228056  233259  2.28146
577  228906  233803  2.1391
578  229751  234582  2.10262
579  230669  236223  2.40795
580  231566  236930  2.3162
581  232461  237402  2.12558
582  233352  238192  2.0742
583  234225  239143  2.09988
584  235034  239780  2.0192
585  235786  240897  2.16769
586  236613  241858  2.21668
587  237423  242180  2.00343
588  238359  243147  2.00878
589  239213  244118  2.05033
590  239970  245173  2.16827
591  240820  245825  2.07837
592  241619  246397  1.97764
593  242534  247136  1.89736
594  243359  247629  1.75477
595  244249  248125  1.5868
596  245061  248539  1.41932
597  245968  249537  1.45086
598  246758  250537  1.53151
599  247555  251206  1.47493
600  248361  252633  1.72026
601  249221  253644  1.77488
602  250048  254236  1.67485
603  250952  254745  1.51137
604  251767  255255  1.38558
605  252648  255682  1.20092
606  253553  256367  1.10986
607  254418  257054  1.03623
608  255272  257485  0.867039
609  256170  258783  1.02014
610  257126  259998  1.11705
611  258118  260781  1.03181
612  258919  261568  1.02292
613  259748  262181  0.936589
614  260687  262533  0.70795
615  261527  263503  0.755511
616  262494  265273  1.05871
617  263354  266072  1.03224
618  264418  267052  0.996183
619  265324  268392  1.15645
620  266153  268661  0.942443
621  267074  269381  0.863827
622  267995  270463  0.921096
623  268857  271369  0.93442
624  269738  271824  0.773241
625  270669  272279  0.594876
626  271704  273010  0.480646
627  272651  273560  0.333352
628  273536  275123  0.580315
629  274444  276047  0.583995
630  275327  277158  0.664929
631  276137  277436  0.470531
632  277144  278182  0.374471
633  278087  278743  0.235719
634  279044  280430  0.496648
635  279957  281370  0.5048
636  280889  282408  0.540777
637  281801  282881  0.38323
638  282864  283451  0.2074
639  283831  284784  0.335696
640  284750  285357  0.21312
641  285644  285932  0.100763
642  286616  286797  0.063011
643  287466  287375  0.0315365
644  288422  288343  0.0274568
645  289398  289119  0.0964658
646  290342  290287  0.0190688
647  291167  291653  0.167026
648  292168  291947  0.0756653
649  293157  292635  0.178207
650  294060  293916  0.0491352
651  295008  295201  0.0653527
652  295894  296391  0.167911
653  296875  297783  0.305869
654  297815  298781  0.32424
655  298716  299781  0.356566
656  299614  301086  0.491178
657  300666  301891  0.407433
658  301573  302698  0.373154
659  302524  303610  0.35896
660  303457  304828  0.451926
661  304377  305542  0.382673
662  305324  306257  0.305531
663  306213  307385  0.382641
664  307204  309029  0.594209
665  308403  309442  0.336842
666  309352  310580  0.396811
667  310288  311513  0.39472
668  311253  313074  0.584942
669  312288  313804  0.485464
670  313188  314537  0.430648
671  314268  315902  0.519881
672  315257  316429  0.371675
673  316434  316957  0.165264
674  317429  317910  0.151686
675  318547  319292  0.23382
676  319533  320038  0.158058
677  320527  321000  0.147625
678  321555  321536  0.00583405
679  322752  322396  0.110168
680  323832  323475  0.110396
681  324825  324448  0.116076
682  325874  325424  0.138069
683  326831  326512  0.0975983
684  327964  328585  0.189479
685  328980  329461  0.146172
686  330107  330668  0.170091
687  331148  331328  0.0544829
688  332246  332211  0.0104937
689  333316  333650  0.100138
690  334325  334871  0.163305
691  335427  336541  0.332113
692  336392  337323  0.276744
693  337538  338780  0.36782
694  338671  340801  0.62885
695  339692  341251  0.459016
696  340763  342833  0.607467
697  341749  343852  0.615357
698  342752  345215  0.718633
699  343788  346810  0.87904
700  344942  347039  0.607885
701  345913  347726  0.524195
702  347039  348186  0.330464
703  348130  350145  0.578839
704  349133  350492  0.389243
705  350233  351650  0.404693
706  351315  352696  0.393027
707  352362  354094  0.491658
708  353395  354912  0.429285
709  354607  356436  0.515762
710  355738  357964  0.62578
711  356858  359378  0.706297
712  357853  359969  0.591367
713  358982  360799  0.506053
714  360102  361630  0.424402
715  361240  363180  0.536901
716  362305  364255  0.538132
717  363339  365333  0.548857
718  364469  366295  0.501035
719  365722  367621  0.51923
720  366925  368587  0.453031
721  368094  370163  0.562208
722  369118  371136  0.546737
723  370136  372355  0.599549
724  371355  372966  0.433855
725  372412  374069  0.444984
726  373550  375298  0.467844
727  374650  376283  0.435968
728  375802  377519  0.456934
729  376969  377891  0.244491
730  378136  378760  0.16509
731  379342  379009  0.0876853
732  380545  379759  0.206546
733  381625  381137  0.127857
734  382847  382142  0.184034
735  383895  383276  0.161172
736  385143  384539  0.15675
737  386212  385553  0.170751
738  387366  386187  0.304237
739  388514  387715  0.205621
740  389525  389247  0.0714227
741  390610  390143  0.119626
742  391680  391426  0.0648011
743  392922  392842  0.0202934
744  394215  393230  0.24999
745  395322  394782  0.136572
746  396450  395042  0.355251
747  397628  395302  0.585014
748  398919  396737  0.546986
749  400065  397783  0.57034
750  401150  398308  0.708479
751  402259  399886  0.589992
752  403399  401072  0.576847
753  404741  401733  0.743147
754  405917  402661  0.802196
755  407123  403990  0.769642
756  408269  404389  0.950289
757  409486  405859  0.885718
758  410734  406797  0.958519
759  411881  407603  1.03871
760  413115  407872  1.26915
761  414268  408817  1.31591
762  415337  409764  1.34184
763  416537  410035  1.56088
764  417758  410988  1.62065
765  418911  412352  1.56576
766  420191  412899  1.73535
767  421383  413996  1.75303
768  422530  414684  1.85691
769  423860  416063  1.83964
770  425095  417583  1.76719
771  426269  418691  1.77768
772  427548  419386  1.90899
773  428860  420779  1.88431
774  430101  422036  1.87512
775  431382  423437  1.84167
776  432710  424139  1.9807
777  434018  425124  2.04916
778  435344  426817  1.95868
779  436556  427524  2.06893
780  437714  428517  2.10119
781  439074  429796  2.11301
782  440354  430224  2.30036
783  441513  431511  2.26549
784  442839  432657  2.29922
785  444151  433519  2.39371
786  445454  434384  2.48515
787  446752  435972  2.41302
788  448169  437130  2.46318
789  449488  438581  2.42655
790  450797  439308  2.54862
791  452162  440767  2.52008
792  453516  441498  2.64987
793  454876  443404  2.52196
794  456197  444139  2.64318
795  457543  445613  2.60745
796  458854  448271  2.30646
797  460169  449752  2.26381
798  461447  452276  1.98744
799  462744  454211  1.84406
800  464159  455106  1.9504
801  465507  456154  2.00928
802  466902  458853  1.72383
803  468233  460657  1.61796
804  469497  462615  1.46572
805  470816  463069  1.64544
806  472146  464886  1.53765
807  473598  466708  1.45483
808  474988  468991  1.2625
809  476298  469907  1.34179
810  477706  471742  1.24849
811  479102  473429  1.1841
812  480475  474659  1.21052
813  481962  476970  1.03566
814  483268  478361  1.01546
815  484675  479445  1.07904
816  486072  480532  1.13981
817  487472  481621  1.20024
818  488988  483025  1.21951
819  490409  484902  1.12303
820  491776  485842  1.20662
821  493228  487413  1.17888
822  494667  488673  1.21162
823  496061  489937  1.23455
824  497440  492311  1.03106
825  498926  494056  0.976006
826  500275  495489  0.95672
827  501752  496445  1.05763
828  503153  497564  1.11081
829  504554  499646  0.972642
830  505960  500610  1.05733
831  507331  502542  0.943933
832  508799  503673  1.00753
833  510258  505614  0.910204
834  511697  506748  0.967141
835  513050  507561  1.06993
836  514528  509353  1.00583
837  515983  511639  0.841835
838  517497  512621  0.942159
839  518887  513113  1.11268
840  520392  515087  1.0194
841  521862  515746  1.17189
842  523489  517399  1.16339
843  525011  518559  1.22893
844  526545  519555  1.32752
845  527938  521386  1.24109
846  529380  522053  1.384
847  530943  523057  1.48532
848  532487  525237  1.36161
849  534224  527085  1.33637
850  535793  528264  1.40518
851  537323  528770  1.59171
