Serial  Exact_Count  Global_Count  Error
428  123893  118500  5.67052e-309
429  124471  118900  5.67067e-309
430  125034  119600  5.67095e-309
431  125634  119800  5.67125e-309
432  126201  120500  5.67125e-309
433  126806  121400  5.67165e-309
434  127442  122000  5.67199e-309
435  128003  122300  5.67199e-309
436  128556  122700  5.67199e-309
437  129193  123100  5.67209e-309
438  129703  123200  5.67229e-309
439  130267  123900  5.67269e-309
440  130858  124900  5.67288e-309
441  131427  125000  5.67358e-309
442  131989  125700  5.67386e-309
443  132621  126300  5.67407e-309
444  133214  126500  5.67437e-309
445  133722  126800  5.67449e-309
446  134285  127500  5.6749e-309
447  134848  128200  5.67515e-309
448  135372  128700  5.67526e-309
449  135926  129100  5.67557e-309
450  136500  129600  5.67585e-309
451  137038  130000  5.67608e-309
452  137591  131000  5.67619e-309
453  138189  131800  5.67634e-309
454  138869  132600  5.67702e-309
455  139526  133000  5.67742e-309
456  140064  133200  5.67759e-309
457  140671  133800  5.67802e-309
458  141300  134600  5.67859e-309
459  141946  135100  5.67869e-309
460  142586  136000  5.67895e-309
461  143149  136300  5.6792e-309
462  143833  136600  5.67967e-309
463  144448  137200  5.67969e-309
464  145099  138000  5.68043e-309
465  145669  138400  5.68043e-309
466  146321  139300  5.68058e-309
467  147035  140000  5.68141e-309
468  147708  140800  5.68145e-309
469  148281  141400  5.68156e-309
470  149010  142000  5.68188e-309
471  149668  142600  5.68222e-309
472  150380  143400  5.68281e-309
473  150973  143500  5.68285e-309
474  151563  143600  5.68294e-309
475  152182  144100  5.68334e-309
476  152863  144600  5.68353e-309
477  153439  144800  5.684e-309
478  154123  145100  5.6844e-309
479  154816  145500  5.68481e-309
480  155426  145900  5.6851e-309
481  156192  147500  5.68519e-309
482  156860  148000  5.68561e-309
483  157615  148600  5.68576e-309
484  158211  149000  5.68591e-309
485  158911  149600  5.68602e-309
486  159514  150200  5.6864e-309
487  160313  150400  5.68712e-309
488  161051  151300  5.68731e-309
489  161688  152600  5.68746e-309
490  162397  153700  5.68795e-309
491  163082  153900  5.68822e-309
492  163750  154200  5.68863e-309
493  164373  154700  5.68873e-309
494  165048  155400  5.68918e-309
495  165788  156600  5.68945e-309
496  166484  157300  5.68954e-309
497  167171  158300  5.68954e-309
498  168023  159200  5.68977e-309
499  168695  160100  5.69007e-309
500  169400  160300  5.69007e-309
501  170090  160900  5.69028e-309
502  170769  161300  5.69051e-309
503  171428  162000  5.69081e-309
504  172252  162700  5.69083e-309
505  172955  163500  5.69136e-309
506  173743  164400  5.69143e-309
507  174459  165400  5.69164e-309
508  175197  166600  5.69217e-309
509  176112  167300  5.69236e-309
510  176821  167800  5.69295e-309
511  177542  168400  5.69334e-309
512  178181  169100  5.69348e-309
513  178865  169500  5.69397e-309
514  179568  170200  5.69412e-309
515  180285  170900  5.69438e-309
516  180977  171600  5.69448e-309
517  181711  172300  5.69461e-309
518  182425  173000  5.69476e-309
519  183208  173500  5.69478e-309
520  183989  173800  5.69478e-309
521  184728  175000  5.69478e-309
522  185493  176000  5.69491e-309
523  186237  176100  5.69535e-309
524  187115  178000  5.69539e-309
525  187942  178800  5.69552e-309
526  188696  179700  5.69554e-309
527  189509  181000  5.69556e-309
528  190264  181400  5.69597e-309
529  191074  181900  5.69629e-309
530  191817  182500  5.69669e-309
531  192557  182700  5.69703e-309
